COST CNTR.,DESC.,Qty(S1),Free Qty(S1),Amount(S1),Qty(S2),Free Qty(2),Amount(s2),Qty(s3),Free Qty(S3),Amount(s3),%Qty1,Amount(1)%,%Qty 2,Amount(2)%,,City,District,STATE
BM,BUMCHUMS,"523,888.000",0.000,"135,951,348.71","689,175.000","1,290.000","180,008,006.30",0.000,0.000,0.00,31.550,32.41,-100,-100,0,,,
BR,BRA/PANTIES/LEGGINGS,"745,876.000","3,585.000","68,408,215.89","646,618.000",984.000,"61,527,162.57",0.000,0.000,0.00,-13.308,-10.06,-100,-100,0,,,
BZ,BUZZ,"1,427.000",0.000,"751,778.58","1,613.000",0.000,"576,166.66",0.000,0.000,0.00,13.034,-23.36,-100,-100,0,,,
CL,COLORS,0.000,0.000,0.00,"934,598.000",0.000,"89,499,188.60",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
CT,CONTRTACT MFG.,"109,401.000",0.000,"7,628,457.07","168,722.000",0.000,"14,970,025.52",0.000,0.000,0.00,54.223,96.24,-100,-100,0,,,
EU,EURO,"743,320.000","154,624.000","61,244,182.99","1,033,677.000",0.000,"70,860,497.65",0.000,0.000,0.00,39.062,15.70,-100,-100,0,,,
EX,RUPA EXPORTS (DOM),"12,672.000",0.000,"1,098,856.20","1,000.000",0.000,"65,000.00",0.000,0.000,0.00,-92.109,-94.08,-100,-100,0,,,
FC,FCUK,0.000,0.000,0.00,7.000,0.000,"1,207.66",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
FE,FEMMORA,"5,613.000",0.000,"2,040,777.81",16.000,0.000,"8,040.71",0.000,0.000,0.00,-99.715,-99.61,-100,-100,0,,,
FL,FRONTLINE,"7,097,733.000","31,250.000","576,287,865.33","5,720,447.000","10,180.000","441,333,667.76",0.000,0.000,0.00,-19.405,-23.42,-100,-100,0,,,
FO,FRUIT OF THE LOOM,"9,638.000",0.000,"2,060,684.65",43.000,0.000,"13,985.70",0.000,0.000,0.00,-99.554,-99.32,-100,-100,0,,,
FT,FOOTLINE,"446,124.000",0.000,"14,886,765.03","477,617.000","10,000.000","17,021,623.81",0.000,0.000,0.00,7.059,14.34,-100,-100,0,,,
JN,JON,"14,063,599.000","208,090.000","737,580,624.63","16,927,512.000","49,297.000","831,303,192.60",0.000,0.000,0.00,20.364,12.71,-100,-100,0,,,
MM,MACROMAN,"2,621,229.000","52,470.000","205,563,315.64","2,078,774.000",0.000,"158,315,182.59",0.000,0.000,0.00,-20.695,-22.98,-100,-100,0,,,
MS,M�SERIES,"829,866.500","58,910.150","131,552,358.01","842,195.000","105,959.920","133,824,944.69",0.000,0.000,0.00,1.486,1.73,-100,-100,0,,,
RA,RUPA ACCESSORIES,"22,576.000",0.000,"2,732,912.10","30,417.000","1,714.000","3,900,764.62",0.000,0.000,0.00,34.732,42.73,-100,-100,0,,,
SL,SOFTLINE,"98,140.000",0.000,"5,777,287.60","235,390.000","1,771.000","14,680,434.44",0.000,0.000,0.00,139.851,154.11,-100,-100,0,,,
TC,THERMAL,"7,480.000",0.000,"2,337,869.10","11,343.000",0.000,"3,613,682.48",0.000,0.000,0.00,51.644,54.57,-100,-100,0,,,
,,"27,338,582.500","508,929.150","1,955,903,299.34","29,799,164.000","181,195.920","2,021,522,774.36",0.000,0.000,0.00,,,,,,,,
