BRAND,DESC.1,ITEM,DESC.,Valuation Type,Qty(S1),Free Qty(S1),Amount(S1),Qty(S2),Free Qty(2),Amount(s2),Qty(s3),Free Qty(S3),Amount(s3),%Qty1,Amount(1)%,%Qty 2,Amount(2)%,,City,District,STATE
BMBS,BUMCHUMS SET,RBMBS0J251P014200L,"J251 _ TOP PANT SET, ASSORETD, 00L, P01",DOMESTIC,181,0,"19,861.86",0,0,0,0,0,0,-100,-100,-100,-100,0,,,
BMBS,BUMCHUMS SET,RBMBS0J251P014200M,"J251 _ TOP PANT SET, ASSORETD, 00M, P01",DOMESTIC,160,0,"17,572.02",5,0,549.12,0,0,0,-96.875,-96.88,-100,-100,0,,,
BMBS,BUMCHUMS SET,RBMBS0J251P014200S,"J251 _ TOP PANT SET, ASSORETD, 00S, P01",DOMESTIC,135,0,"14,743.99",25,0,"2,745.64",0,0,0,-81.481,-81.38,-100,-100,0,,,
BMBS,BUMCHUMS SET,RBMBS0J251P01420XL,"J251 _ TOP PANT SET, ASSORETD, 0XL, P01",DOMESTIC,193,0,"21,064.46",35,0,"3,843.89",0,0,0,-81.865,-81.75,-100,-100,0,,,
BMBS,BUMCHUMS SET,RBMBS0J251P0142XXL,"J251 _ TOP PANT SET, ASSORETD, XXL, P01",DOMESTIC,170,0,"18,505.53",5,0,549.12,0,0,0,-97.059,-97.03,-100,-100,0,,,
BMBS,BUMCHUMS SET,RBMBS0J252P014200L,"J252 _ TOP PANT SET, ASSORETD, 00L, P01",DOMESTIC,253,0,"33,146.39",30,0,"3,984.74",0,0,0,-88.142,-87.98,-100,-100,0,,,
BMBS,BUMCHUMS SET,RBMBS0J252P014200M,"J252 _ TOP PANT SET, ASSORETD, 00M, P01",DOMESTIC,220,0,"29,221.46",60,0,"7,969.49",0,0,0,-72.727,-72.73,-100,-100,0,,,
BMBS,BUMCHUMS SET,RBMBS0J252P014200S,"J252 _ TOP PANT SET, ASSORETD, 00S, P01",DOMESTIC,170,0,"22,580.22",35,0,"4,648.86",0,0,0,-79.412,-79.41,-100,-100,0,,,
BMBS,BUMCHUMS SET,RBMBS0J252P01420XL,"J252 _ TOP PANT SET, ASSORETD, 0XL, P01",DOMESTIC,241,0,"31,990.71",65,0,"8,633.63",0,0,0,-73.029,-73.01,-100,-100,0,,,
BMBS,BUMCHUMS SET,RBMBS0J252P0142XXL,"J252 _ TOP PANT SET, ASSORETD, XXL, P01",DOMESTIC,220,0,"29,221.40",30,0,"3,984.74",0,0,0,-86.364,-86.36,-100,-100,0,,,
BMBS,BUMCHUMS SET,RBMBS0J253P014200L,"J253 _ TOP PANT SET, ASSORETD, 00L, P01",DOMESTIC,155,0,"25,133.45",65,0,"10,539.78",0,0,0,-58.065,-58.06,-100,-100,0,,,
BMBS,BUMCHUMS SET,RBMBS0J253P014200M,"J253 _ TOP PANT SET, ASSORETD, 00M, P01",DOMESTIC,158,0,"25,546.78",5,0,810.76,0,0,0,-96.835,-96.83,-100,-100,0,,,
BMBS,BUMCHUMS SET,RBMBS0J253P014200S,"J253 _ TOP PANT SET, ASSORETD, 00S, P01",DOMESTIC,143,0,"22,992.86",60,0,"9,729.02",0,0,0,-58.042,-57.69,-100,-100,0,,,
BMBS,BUMCHUMS SET,RBMBS0J253P01420XL,"J253 _ TOP PANT SET, ASSORETD, 0XL, P01",DOMESTIC,130,0,"20,957.90",70,0,"11,350.52",0,0,0,-46.154,-45.84,-100,-100,0,,,
BMBS,BUMCHUMS SET,RBMBS0J253P0142XXL,"J253 _ TOP PANT SET, ASSORETD, XXL, P01",DOMESTIC,127,0,"20,422.73",71,0,"11,470.38",0,0,0,-44.094,-43.84,-100,-100,0,,,
BMBS,BUMCHUMS SET,RBMBS0J254P014200L,"J254 _  TOP PANT SET, ASSORETD, 00L, P01",DOMESTIC,223,0,"31,812.79",25,0,"3,622.50",0,0,0,-88.789,-88.61,-100,-100,0,,,
BMBS,BUMCHUMS SET,RBMBS0J254P014200M,"J254 _  TOP PANT SET, ASSORETD, 00M, P01",DOMESTIC,185,0,"26,806.53",30,0,"4,346.99",0,0,0,-83.784,-83.78,-100,-100,0,,,
BMBS,BUMCHUMS SET,RBMBS0J254P014200S,"J254 _  TOP PANT SET, ASSORETD, 00S, P01",DOMESTIC,155,0,"22,459.53",25,0,"3,622.49",0,0,0,-83.871,-83.87,-100,-100,0,,,
