STATE,Valuation Type,Qty(S1),Free Qty(S1),Amount(S1),Qty(S2),Free Qty(2),Amount(s2),Qty(s3),Free Qty(S3),Amount(s3),%Qty1,Amount(1)%,%Qty 2,Amount(2)%,,City,District,STATE
Andaman and Nico.In.,DOMESTIC,"15,318.000",630.000,"10,01,550.87","26,422.000",0.000,"16,44,865.98",0.000,0.000,0.00,72.490,64.23,-100,-100,0,,,
Andhra Pradesh,DOMESTIC,"69,285.000","1,210.000","56,40,342.80","61,987.000",208.000,"46,64,692.98",0.000,0.000,0.00,-10.533,-17.3,-100,-100,0,,,
Arunachal Pradesh,DOMESTIC,"1,850.000",0.000,"1,53,799.04","3,310.000",0.000,"2,48,677.13",0.000,0.000,0.00,78.919,61.69,-100,-100,0,,,
Assam,DOMESTIC,"6,09,039.000","22,599.730","5,49,38,542.45","5,53,798.000","53,643.000","5,13,95,031.08",0.000,0.000,0.00,-9.07,-6.45,-100,-100,0,,,
Bihar,REJECTED,"8,700.000",0.000,"9,78,000.10","4,580.000",0.000,"5,76,100.06",0.000,0.000,0.00,-47.356,-41.09,-100,-100,0,,,
Bihar,DOMESTIC,"51,17,209.500","2,25,607.380","38,48,45,404.91","48,89,466.000","11,265.000","33,24,44,286.36",0.000,0.000,0.00,-4.451,-13.62,-100,-100,0,,,
Chandigarh,DOMESTIC,"35,726.000",238.000,"24,02,259.93","59,004.000",352.000,"35,30,550.44",0.000,0.000,0.00,65.157,46.97,-100,-100,0,,,
Chhatisgarh,DOMESTIC,"64,376.000",859.920,"44,03,897.80","1,37,168.000","1,024.000","85,30,167.79",0.000,0.000,0.00,113.073,93.70,-100,-100,0,,,
Dadra und Nagar Hav.,DOMESTIC,0.000,0.000,0.00,"2,120.000",0.000,"1,42,400.44",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Delhi,REJECTED,"50,900.000",0.000,"15,23,300.41","21,700.000",0.000,"7,28,000.59",0.000,0.000,0.00,-57.367,-52.21,-100,-100,0,,,
