STATE,BRAND,DESC.,Qty(S1),Free Qty(S1),Amount(S1),Qty(S2),Free Qty(2),Amount(s2),Qty(s3),Free Qty(S3),Amount(s3),%Qty1,Amount(1)%,%Qty 2,Amount(2)%,,City,District,STATE
Andaman and Nico.In.,CLCD,COLORS DRAWER,0.000,0.000,0.00,"1,820.000",0.000,"1,57,620.37",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Andaman and Nico.In.,CLPB,COLORS PEEKABOO,0.000,0.000,0.00,312.000,0.000,"34,525.44",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Andaman and Nico.In.,EUEU,EURO,"3,420.000",620.000,"2,61,147.29","7,450.000",0.000,"4,31,251.65",0.000,0.000,0.00,117.836,65.14,-100,-100,0,,,
Andaman and Nico.In.,FLCD,FRONTLINE COLORS DRAWER,"1,800.000",0.000,"1,09,584.98",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
Andaman and Nico.In.,FLEX,FRONTLINE EXPANDO,460.000,0.000,"30,628.15",890.000,0.000,"56,403.11",0.000,0.000,0.00,93.478,84.15,-100,-100,0,,,
Andaman and Nico.In.,FLFB,FRONTLINE BRIEF,50.000,0.000,"3,355.02",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
Andaman and Nico.In.,FLFD,FRONTLINE DRAWER,370.000,0.000,"36,229.03",100.000,0.000,"9,270.02",0.000,0.000,0.00,-72.973,-74.41,-100,-100,0,,,
Andaman and Nico.In.,FLFV,FRONTLINE VEST,"2,680.000",10.000,"2,09,855.16","2,480.000",0.000,"1,88,667.33",0.000,0.000,0.00,-7.463,-10.1,-100,-100,0,,,
Andaman and Nico.In.,FLHK,FRONTLINE HUNK,0.000,0.000,0.00,640.000,0.000,"87,680.00",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Andaman and Nico.In.,FLKL,FRONTLINE KIDLINE,"2,400.000",0.000,"1,08,806.38",560.000,0.000,"22,780.09",0.000,0.000,0.00,-76.667,-79.06,-100,-100,0,,,
Andaman and Nico.In.,FLRL,FRONTLINE RIBLINE,320.000,0.000,"32,960.00",320.000,0.000,"32,960.00",0.000,0.000,0.00,0.000,0.00,-100,-100,0,,,
Andaman and Nico.In.,JNJN,JON,"2,810.000",0.000,"1,32,994.94","7,290.000",0.000,"3,21,345.43",0.000,0.000,0.00,159.431,141.62,-100,-100,0,,,
Andaman and Nico.In.,MMMM,MACROMAN,720.000,0.000,"62,134.27","1,560.000",0.000,"1,22,668.92",0.000,0.000,0.00,116.667,97.43,-100,-100,0,,,
Andaman and Nico.In.,RAHC,HANDKERCHIEF,288.000,0.000,"13,855.65",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
Andaman and Nico.In.,SLSC,SOFTLINE CAMISOLE,0.000,0.000,0.00,480.000,0.000,"31,483.74",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Andaman and Nico.In.,SLSP,SOFTLINE REG.PANTIES,0.000,0.000,0.00,"2,520.000",0.000,"1,48,209.88",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Andhra Pradesh,BMBU,BUMCHUMS BERMUDA,194.000,0.000,"58,677.45",30.000,0.000,"7,831.32",0.000,0.000,0.00,-84.536,-86.65,-100,-100,0,,,
Andhra Pradesh,BMLS,BUMCHUMS LOUNGERS,192.000,0.000,"73,639.01",10.000,0.000,"3,073.63",0.000,0.000,0.00,-94.792,-95.83,-100,-100,0,,,
Andhra Pradesh,BMPN,BUMCHUM PANT,30.000,0.000,"8,314.47",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
Andhra Pradesh,BMTS,BUMCHUMS T-SHIRT,"1,645.000",0.000,"4,44,903.40",490.000,0.000,"1,91,444.77",0.000,0.000,0.00,-70.213,-56.97,-100,-100,0,,,
Andhra Pradesh,BRCP,SOFTLINE CLASSIC PANTIES,56.000,0.000,"3,932.96",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
Andhra Pradesh,BUZZ,BUZZ,0.000,0.000,0.00,2.000,0.000,"1,715.98",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Andhra Pradesh,CLCD,COLORS DRAWER,0.000,0.000,0.00,"5,565.000",0.000,"5,08,164.31",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Andhra Pradesh,EUEU,EURO,"4,760.000","1,070.000","4,17,493.49","1,520.000",0.000,"98,150.42",0.000,0.000,0.00,-68.067,-76.49,-100,-100,0,,,
Andhra Pradesh,FLAV,FRONTLINE AIR,70.000,0.000,"10,142.92",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
Andhra Pradesh,FLCD,FRONTLINE COLORS DRAWER,"1,230.000",0.000,"1,04,352.76",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
Andhra Pradesh,FLEX,FRONTLINE EXPANDO,"6,600.000",80.000,"4,35,706.61","4,910.000",0.000,"3,10,108.80",0.000,0.000,0.00,-25.606,-28.83,-100,-100,0,,,
Andhra Pradesh,FLFV,FRONTLINE VEST,"2,800.000",0.000,"2,10,922.53","3,170.000",0.000,"2,32,920.22",0.000,0.000,0.00,13.214,10.43,-100,-100,0,,,
Andhra Pradesh,FLFX,FRONTLINE XING,90.000,0.000,"7,176.05",880.000,0.000,"60,222.95",0.000,0.000,0.00,877.778,739.22,-100,-100,0,,,
Andhra Pradesh,FLHK,FRONTLINE HUNK,"4,480.000",0.000,"4,86,158.72","3,600.000",0.000,"3,61,359.56",0.000,0.000,0.00,-19.643,-25.67,-100,-100,0,,,
Andhra Pradesh,FLIL,FRONTLINE INTERLOCK,160.000,0.000,"19,200.00",160.000,0.000,"19,200.00",0.000,0.000,0.00,0.000,0.00,-100,-100,0,,,
Andhra Pradesh,FLRL,FRONTLINE RIBLINE,800.000,0.000,"82,400.00",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
Andhra Pradesh,JNJN,JON,"41,691.000",0.000,"28,15,052.95","36,910.000",204.000,"24,75,798.06",0.000,0.000,0.00,-11.468,-12.05,-100,-100,0,,,
Andhra Pradesh,MMMM,MACROMAN,"3,620.000",0.000,"2,99,462.79","4,730.000",0.000,"3,93,931.35",0.000,0.000,0.00,30.663,31.55,-100,-100,0,,,
Andhra Pradesh,MSCC,M'SERIES CLASSIC COLLECTION,600.000,60.000,"77,553.89",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
Andhra Pradesh,MSOW,M'SERIES T-SHIRT & OUTER WEAR,255.000,0.000,"85,240.80",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
Andhra Pradesh,RABT,BATH TOWEL,12.000,0.000,12.00,0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
Andhra Pradesh,RAFR,SAMPLE FREE,0.000,0.000,0.00,0.000,4.000,4.00,0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Andhra Pradesh,SLSP,SOFTLINE REG.PANTIES,0.000,0.000,0.00,10.000,0.000,767.61,0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Arunachal Pradesh,EUEU,EURO,800.000,0.000,"52,604.01",900.000,0.000,"57,062.97",0.000,0.000,0.00,12.500,8.48,-100,-100,0,,,
Arunachal Pradesh,FLFV,FRONTLINE VEST,500.000,0.000,"38,907.50",60.000,0.000,"5,609.70",0.000,0.000,0.00,-88,-85.58,-100,-100,0,,,
Arunachal Pradesh,FLHK,FRONTLINE HUNK,550.000,0.000,"62,287.53",900.000,0.000,"97,892.97",0.000,0.000,0.00,63.636,57.16,-100,-100,0,,,
Arunachal Pradesh,JNJN,JON,0.000,0.000,0.00,900.000,0.000,"42,606.00",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Arunachal Pradesh,MMMM,MACROMAN,0.000,0.000,0.00,550.000,0.000,"45,505.49",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Assam,BMBU,BUMCHUMS BERMUDA,"15,760.000",0.000,"38,73,275.43","5,456.000",0.000,"13,28,267.56",0.000,0.000,0.00,-65.381,-65.71,-100,-100,0,,,
Assam,BMLS,BUMCHUMS LOUNGERS,110.000,0.000,"31,814.49",50.000,0.000,"14,461.24",0.000,0.000,0.00,-54.545,-54.55,-100,-100,0,,,
Assam,BMPN,BUMCHUM PANT,0.000,0.000,0.00,270.000,0.000,"69,019.79",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Assam,BMTS,BUMCHUMS T-SHIRT,"2,045.000",0.000,"3,89,758.81","2,835.000",0.000,"6,07,830.02",0.000,0.000,0.00,38.631,55.95,-100,-100,0,,,
Assam,BRBF,BUTTERFLY BRA,330.000,0.000,"51,344.61",420.000,0.000,"55,576.73",0.000,0.000,0.00,27.273,8.24,-100,-100,0,,,
Assam,BRCP,SOFTLINE CLASSIC PANTIES,"1,460.000",0.000,"81,178.80",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
Assam,BRCS,SL CAMISOLE,"2,380.000",0.000,"1,56,825.24",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
Assam,BRCW,SOFTLINE CASUAL WEAR,345.000,0.000,"89,621.81",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
Assam,BRFA,FANCY BRA(GROUP-A),0.000,0.000,0.00,"1,986.000",0.000,"2,05,940.57",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Assam,BRFB,FANCY BRA(GROUP-B),0.000,0.000,0.00,372.000,0.000,"40,251.56",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Assam,BRLG,SOFTLINE LEGGINGS,550.000,55.000,"1,26,941.39",740.000,0.000,"1,69,079.62",0.000,0.000,0.00,34.545,33.20,-100,-100,0,,,
Assam,BRRC,REGULAR COTTON BRA,0.000,0.000,0.00,"5,394.000",876.000,"3,52,465.45",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Assam,BRRF,REGULAR FANCY BRA,0.000,0.000,0.00,"3,108.000",0.000,"2,12,926.79",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Assam,CLCD,COLORS DRAWER,0.000,0.000,0.00,"14,780.000",0.000,"9,73,439.10",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Assam,CLPB,COLORS PEEKABOO,0.000,0.000,0.00,"1,248.000",0.000,"1,09,530.30",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Assam,EUEU,EURO,"41,420.000","8,700.000","33,20,247.13","62,960.000",0.000,"39,86,818.34",0.000,0.000,0.00,52.004,20.08,-100,-100,0,,,
Assam,FL2B,FRONTLINE (2.0) BOXER,432.000,0.000,"1,21,604.11",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
Assam,FLAV,FRONTLINE AIR,0.000,0.000,0.00,500.000,0.000,"72,460.03",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Assam,FLCD,FRONTLINE COLORS DRAWER,"2,990.000",0.000,"1,64,958.05",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
Assam,FLEX,FRONTLINE EXPANDO,"6,140.000",0.000,"4,06,560.56","4,880.000",0.000,"3,07,835.94",0.000,0.000,0.00,-20.521,-24.28,-100,-100,0,,,
Assam,FLFB,FRONTLINE BRIEF,390.000,0.000,"27,731.42",130.000,0.000,"9,483.80",0.000,0.000,0.00,-66.667,-65.8,-100,-100,0,,,
Assam,FLFD,FRONTLINE DRAWER,"6,160.000",0.000,"6,09,731.61","3,790.000",0.000,"3,64,533.94",0.000,0.000,0.00,-38.474,-40.21,-100,-100,0,,,
Assam,FLFV,FRONTLINE VEST,"78,810.000",770.000,"58,33,397.92","36,610.000",0.000,"27,47,511.33",0.000,0.000,0.00,-53.547,-52.9,-100,-100,0,,,
Assam,FLFX,FRONTLINE XING,0.000,0.000,0.00,150.000,0.000,"10,934.98",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Assam,FLHK,FRONTLINE HUNK,"9,850.000",0.000,"11,24,993.69","2,465.000",0.000,"3,31,823.69",0.000,0.000,0.00,-74.975,-70.5,-100,-100,0,,,
Assam,FLIL,FRONTLINE INTERLOCK,"1,540.000",0.000,"1,82,679.53",450.000,0.000,"51,298.27",0.000,0.000,0.00,-70.779,-71.92,-100,-100,0,,,
Assam,FLKL,FRONTLINE KIDLINE,"1,500.000",0.000,"68,208.32","2,630.000",0.000,"1,07,398.55",0.000,0.000,0.00,75.333,57.46,-100,-100,0,,,
Assam,FLRL,FRONTLINE RIBLINE,"1,600.000",0.000,"1,69,120.00","1,840.000",0.000,"1,95,547.99",0.000,0.000,0.00,15.000,15.63,-100,-100,0,,,
Assam,FTCC,COMFORT COTTON SOCKS,"4,080.000",0.000,"1,61,110.79","3,430.000",0.000,"1,41,868.23",0.000,0.000,0.00,-15.931,-11.94,-100,-100,0,,,
Assam,FTCF,COTTON FEEL SOCKS,940.000,0.000,"28,562.47","1,870.000",0.000,"63,558.44",0.000,0.000,0.00,98.936,122.52,-100,-100,0,,,
Assam,FTPM,PREMIUM SOCKS,890.000,0.000,"41,805.23",380.000,0.000,"17,944.63",0.000,0.000,0.00,-57.303,-57.08,-100,-100,0,,,
Assam,FTRC,REGULAR COTTON SOCKS,850.000,0.000,"38,175.31","1,120.000",0.000,"52,800.92",0.000,0.000,0.00,31.765,38.31,-100,-100,0,,,
Assam,FTSP,SPORTY SOCKS,50.000,0.000,"2,275.08",100.000,0.000,"4,945.81",0.000,0.000,0.00,100.000,117.39,-100,-100,0,,,
Assam,FTSU,SCHOOL UNIFORM SOCKS,"70,720.000",0.000,"25,88,542.45","62,240.000",0.000,"24,91,088.69",0.000,0.000,0.00,-11.991,-3.76,-100,-100,0,,,
Assam,JNJN,JON,"1,44,460.000",0.000,"66,88,640.39","1,20,392.000","3,047.000","52,92,886.10",0.000,0.000,0.00,-16.661,-20.87,-100,-100,0,,,
Assam,MMMM,MACROMAN,"31,630.000",0.000,"25,14,034.92","22,450.000",0.000,"17,73,190.77",0.000,0.000,0.00,-29.023,-29.47,-100,-100,0,,,
Assam,MSAW,M’SERIES ACTIVE WEAR,718.000,0.000,"2,69,719.68","1,362.000",0.000,"6,49,499.95",0.000,0.000,0.00,89.694,140.81,-100,-100,0,,,
Assam,MSCC,M'SERIES CLASSIC COLLECTION,"1,23,480.000","12,520.000","1,83,57,623.02","1,06,320.000","41,878.000","1,55,43,504.64",0.000,0.000,0.00,-13.897,-15.33,-100,-100,0,,,
Assam,MSFR,M'SERIES FREE,0.000,0.000,0.00,0.000,85.000,85.00,0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Assam,MSIN,M'SERIES INSIGNIA COLLECTION,160.000,10.000,"27,888.75",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
Assam,MSMB,M'SERIES MODERN BASICS,"46,460.000",0.000,"53,41,437.35","29,940.000","3,642.000","33,80,849.46",0.000,0.000,0.00,-35.557,-36.71,-100,-100,0,,,
Assam,MSMW,M'SERIES MACROWOMAN,"4,081.000",344.730,"7,00,252.35","10,681.000","1,392.000","25,15,766.35",0.000,0.000,0.00,161.725,259.27,-100,-100,0,,,
Assam,MSOW,M'SERIES T-SHIRT & OUTER WEAR,184.000,0.000,"56,299.04","3,263.000",0.000,"10,29,220.17",0.000,0.000,0.00,"1,673.370","1,728.13",-100,-100,0,,,
Assam,MSPD,M'SERIES PRO DRY,0.000,0.000,0.00,"1,479.000",155.000,"5,82,979.88",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Assam,MSSG,MACROMAN M-SERIES SIGNATURE,0.000,0.000,0.00,"2,503.000",215.000,"6,72,063.65",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
Assam,MSSK,M'SERIES SOCKS,"1,600.000",200.000,"1,13,695.18","11,070.000","1,390.000","7,59,847.98",0.000,0.000,0.00,591.875,568.32,-100,-100,0,,,
Assam,MSSP,M'SERIES MACROMAN SPORTS,0.000,0.000,0.00,"4,710.000",715.000,"13,47,920.84",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
