BRAND,DESC.,Qty(S1),Free Qty(S1),Amount(S1),Qty(S2),Free Qty(2),Amount(s2),Qty(s3),Free Qty(S3),Amount(s3),%Qty1,Amount(1)%,%Qty 2,Amount(2)%,,City,District,STATE
BMBS,BUMCHUMS SET,"6,363.000",0.000,"8,46,032.04","4,556.000",0.000,"9,29,836.93",0.000,0.000,0.00,-28.399,9.91,-100,-100,0,,,
BMBU,BUMCHUMS BERMUDA,"3,25,541.000",0.000,"8,74,47,744.21","4,30,290.000",0.000,"11,39,35,658.34",0.000,0.000,0.00,32.177,30.29,-100,-100,0,,,
BMFR,BUMCHUMS FREE,0.000,0.000,0.00,0.000,"1,290.000","1,304.87",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
BMLS,BUMCHUMS LOUNGERS,"38,549.000",0.000,"1,17,51,971.40","52,976.000",0.000,"1,75,39,379.90",0.000,0.000,0.00,37.425,49.25,-100,-100,0,,,
BMPN,BUMCHUM PANT,"3,639.000",0.000,"10,54,794.15","25,034.000",0.000,"63,36,174.19",0.000,0.000,0.00,587.936,500.70,-100,-100,0,,,
BMTS,BUMCHUMS T-SHIRT,"1,49,796.000",0.000,"3,48,50,806.91","1,76,319.000",0.000,"4,12,65,652.07",0.000,0.000,0.00,17.706,18.41,-100,-100,0,,,
BRBF,BUTTERFLY BRA,"18,655.000",0.000,"28,12,749.28","12,325.000",0.000,"24,71,022.18",0.000,0.000,0.00,-33.932,-12.15,-100,-100,0,,,
BRCP,SOFTLINE CLASSIC PANTIES,"58,591.000",0.000,"35,99,820.14",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
BRCS,SL CAMISOLE,"45,029.000",0.000,"30,02,752.62",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
BRCW,SOFTLINE CASUAL WEAR,"16,035.000",0.000,"47,11,221.31","18,372.000",0.000,"53,96,912.56",0.000,0.000,0.00,14.574,14.55,-100,-100,0,,,
BRFA,FANCY BRA(GROUP-A),"60,235.000",0.000,"50,05,207.35","54,666.000",0.000,"47,30,371.05",0.000,0.000,0.00,-9.245,-5.49,-100,-100,0,,,
BRFB,FANCY BRA(GROUP-B),"21,651.000",0.000,"22,78,007.60","25,026.000",0.000,"27,28,554.00",0.000,0.000,0.00,15.588,19.78,-100,-100,0,,,
BRLG,SOFTLINE LEGGINGS,"78,836.000","3,585.000","1,85,65,085.79","56,464.000",0.000,"1,34,10,388.27",0.000,0.000,0.00,-28.378,-27.77,-100,-100,0,,,
BRRC,REGULAR COTTON BRA,"3,67,843.000",0.000,"2,29,03,185.31","3,87,245.000",984.000,"2,61,23,305.74",0.000,0.000,0.00,5.275,14.06,-100,-100,0,,,
BRRF,REGULAR FANCY BRA,"79,001.000",0.000,"55,30,186.49","92,520.000",0.000,"66,66,608.77",0.000,0.000,0.00,17.112,20.55,-100,-100,0,,,
BUZZ,BUZZ,"1,427.000",0.000,"7,51,778.58","1,613.000",0.000,"5,76,166.66",0.000,0.000,0.00,13.034,-23.36,-100,-100,0,,,
CLCD,COLORS DRAWER,0.000,0.000,0.00,"7,74,975.000",0.000,"7,28,38,636.54",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
CLCV,COLORS VEST,0.000,0.000,0.00,"1,13,618.000",0.000,"1,03,09,291.22",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
CLPB,COLORS PEEKABOO,0.000,0.000,0.00,"31,610.000",0.000,"28,58,931.49",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
CLPT,COLORS PANT,0.000,0.000,0.00,"1,159.000",0.000,"4,04,399.78",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
CLSH,COLORS SHORTS,0.000,0.000,0.00,"7,381.000",0.000,"18,75,010.16",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
CLTS,COLORS T-SHIRT,0.000,0.000,0.00,"5,855.000",0.000,"12,12,919.41",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
CTCB,COBLUE,"27,357.000",0.000,"17,87,948.55",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
CTIT,INTUNE,"12,000.000",0.000,"19,56,000.00","7,218.000",0.000,"12,27,068.00",0.000,0.000,0.00,-39.85,-37.27,-100,-100,0,,,
CTLU,LULU,0.000,0.000,0.00,"2,848.000",0.000,"9,55,655.08",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
CTMT,CONTRACT MFG.,"70,044.000",0.000,"38,84,508.52","1,55,256.000",0.000,"1,23,11,992.88",0.000,0.000,0.00,121.655,216.95,-100,-100,0,,,
CTRS,RELIANCE SMART,0.000,0.000,0.00,"1,787.000",0.000,"1,68,839.06",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
CTVS,VSTAR,0.000,0.000,0.00,"1,613.000",0.000,"3,06,470.50",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
EUEU,EURO,"7,43,320.000","1,54,624.000","6,12,44,182.99","10,33,677.000",0.000,"7,08,60,497.65",0.000,0.000,0.00,39.062,15.70,-100,-100,0,,,
EXPR,EXPORT,"12,672.000",0.000,"10,98,856.20","1,000.000",0.000,"65,000.00",0.000,0.000,0.00,-92.109,-94.08,-100,-100,0,,,
FCUK,FCUK,0.000,0.000,0.00,7.000,0.000,"1,207.66",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
FEMM,FEMMORA,"5,613.000",0.000,"20,40,777.81",16.000,0.000,"8,040.71",0.000,0.000,0.00,-99.715,-99.61,-100,-100,0,,,
FL2B,FRONTLINE (2.0) BOXER,"5,398.000",0.000,"15,25,098.01","8,603.000",0.000,"24,21,571.03",0.000,0.000,0.00,59.374,58.78,-100,-100,0,,,
FLAV,FRONTLINE AIR,"5,988.000",0.000,"9,03,122.38","6,734.000",0.000,"10,30,249.61",0.000,0.000,0.00,12.458,14.08,-100,-100,0,,,
FLCD,FRONTLINE COLORS DRAWER,"5,22,315.000","1,230.000","4,49,20,611.91",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
FLCV,FRONTLINE COLORS VEST,"2,67,898.000",0.000,"2,04,37,617.68",0.000,0.000,0.00,0.000,0.000,0.00,-100,-100,-100,-100,0,,,
FLEX,FRONTLINE EXPANDO,"5,43,301.000","6,180.000","3,58,47,838.31","4,65,920.000","3,330.000","3,01,59,957.46",0.000,0.000,0.00,-14.243,-15.87,-100,-100,0,,,
FLFB,FRONTLINE BRIEF,"49,475.000",0.000,"34,14,070.91","35,993.000",0.000,"23,84,729.74",0.000,0.000,0.00,-27.25,-30.15,-100,-100,0,,,
FLFD,FRONTLINE DRAWER,"8,49,915.000",0.000,"8,48,86,976.46","5,54,731.000",0.000,"5,26,76,693.04",0.000,0.000,0.00,-34.731,-37.94,-100,-100,0,,,
FLFV,FRONTLINE VEST,"31,82,237.000","18,830.000","23,49,16,325.10","29,23,249.000",0.000,"21,02,49,161.69",0.000,0.000,0.00,-8.139,-10.5,-100,-100,0,,,
FLFX,FRONTLINE XING,"4,76,864.000","5,010.000","3,59,11,496.69","5,49,690.000",0.000,"3,85,94,211.17",0.000,0.000,0.00,15.272,7.47,-100,-100,0,,,
FLHK,FRONTLINE HUNK,"10,07,511.000",0.000,"9,79,75,540.46","10,35,870.000","6,850.000","9,19,19,636.53",0.000,0.000,0.00,2.815,-6.18,-100,-100,0,,,
FLIL,FRONTLINE INTERLOCK,"21,418.000",0.000,"24,93,181.58","19,100.000",0.000,"22,38,759.41",0.000,0.000,0.00,-10.823,-10.2,-100,-100,0,,,
FLKL,FRONTLINE KIDLINE,"74,018.000",0.000,"43,00,672.93","50,904.000",0.000,"29,53,513.89",0.000,0.000,0.00,-31.228,-31.32,-100,-100,0,,,
FLRL,FRONTLINE RIBLINE,"67,061.000",0.000,"64,34,415.67","49,905.000",0.000,"48,57,173.02",0.000,0.000,0.00,-25.583,-24.51,-100,-100,0,,,
FLSW,FRONTLINE SKYWINGS,"24,334.000",0.000,"23,20,897.24","19,748.000",0.000,"18,48,011.17",0.000,0.000,0.00,-18.846,-20.38,-100,-100,0,,,
FOTL,FRUIT OF THE LOOM,"9,638.000",0.000,"20,60,684.65",43.000,0.000,"13,985.70",0.000,0.000,0.00,-99.554,-99.32,-100,-100,0,,,
FTCC,COMFORT COTTON SOCKS,"56,692.000",0.000,"21,12,687.20","57,141.000","7,000.000","24,74,759.01",0.000,0.000,0.00,0.792,17.14,-100,-100,0,,,
FTCF,COTTON FEEL SOCKS,"72,300.000",0.000,"22,19,003.21","70,269.000","3,000.000","24,32,209.38",0.000,0.000,0.00,-2.809,9.61,-100,-100,0,,,
FTCS,CHILDREN FANCY SOCKS,"2,480.000",0.000,"85,715.79","4,080.000",0.000,"1,49,114.70",0.000,0.000,0.00,64.516,73.96,-100,-100,0,,,
FTPM,PREMIUM SOCKS,"29,267.000",0.000,"12,72,436.59","23,140.000",0.000,"10,96,135.26",0.000,0.000,0.00,-20.935,-13.86,-100,-100,0,,,
FTRC,REGULAR COTTON SOCKS,"9,578.000",0.000,"4,25,934.35","11,652.000",0.000,"5,60,440.63",0.000,0.000,0.00,21.654,31.58,-100,-100,0,,,
FTRL,REGULAR SOCKS LADIES THUMB,702.000,0.000,"25,749.90","1,542.000",0.000,"59,248.36",0.000,0.000,0.00,119.658,130.09,-100,-100,0,,,
FTSP,SPORTY SOCKS,"1,104.000",0.000,"58,887.56","2,452.000",0.000,"1,37,011.58",0.000,0.000,0.00,122.101,132.67,-100,-100,0,,,
FTSU,SCHOOL UNIFORM SOCKS,"2,72,841.000",0.000,"86,46,100.93","3,06,710.000",0.000,"1,00,87,865.06",0.000,0.000,0.00,12.413,16.68,-100,-100,0,,,
FTWL,WOOLEN SOCKS,"1,160.000",0.000,"40,249.50",631.000,0.000,"24,839.83",0.000,0.000,0.00,-45.603,-38.29,-100,-100,0,,,
JNJN,JON,"1,40,63,599.000","2,08,090.000","73,75,80,624.63","1,69,09,186.000","49,297.000","82,74,71,185.08",0.000,0.000,0.00,20.234,12.19,-100,-100,0,,,
JNOW,JON OUTERWEAR,0.000,0.000,0.00,"17,606.000",0.000,"36,77,927.31",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
JNTL,JON THERMAL,0.000,0.000,0.00,720.000,0.000,"1,54,080.21",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
MMMM,MACROMAN,"26,21,229.000","52,470.000","20,55,63,315.64","20,78,774.000",0.000,"15,83,15,182.59",0.000,0.000,0.00,-20.695,-22.98,-100,-100,0,,,
MSAW,M’SERIES ACTIVE WEAR,"3,844.500",0.000,"14,37,389.49","6,754.000",0.000,"27,47,543.14",0.000,0.000,0.00,75.680,91.15,-100,-100,0,,,
MSCC,M'SERIES CLASSIC COLLECTION,"4,50,275.000","43,757.000","6,61,06,179.08","4,39,438.000","78,928.000","5,96,75,780.56",0.000,0.000,0.00,-2.407,-9.73,-100,-100,0,,,
MSFR,M'SERIES FREE,0.000,0.000,0.00,0.000,408.000,408.01,0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
MSIC,M'SERIES INTERNATIONAL COLLECTION,671.000,50.000,"1,05,465.27","49,491.000",0.000,"33,98,522.40",0.000,0.000,0.00,"7,275.708","3,122.41",-100,-100,0,,,
MSIN,M'SERIES INSIGNIA COLLECTION,"15,662.000","1,378.000","32,21,745.98","14,392.000","1,111.000","31,88,355.57",0.000,0.000,0.00,-8.109,-1.04,-100,-100,0,,,
MSKD,M'SERIES KIDS,4.000,0.000,"1,915.24",151.000,0.000,"42,249.63",0.000,0.000,0.00,"3,675.000","2,105.97",-100,-100,0,,,
MSMB,M'SERIES MODERN BASICS,"1,37,577.000",0.000,"1,78,01,046.40","79,721.000","4,564.000","91,98,890.59",0.000,0.000,0.00,-42.054,-48.32,-100,-100,0,,,
MSMC,M'SERIES MARINE COLLECTION,"1,241.000",95.000,"2,85,687.50","1,516.000",195.000,"3,41,089.67",0.000,0.000,0.00,22.160,19.39,-100,-100,0,,,
MSMW,M'SERIES MACROWOMAN,"45,745.000","4,419.090","76,15,518.73","29,061.000","2,535.920","65,32,265.06",0.000,0.000,0.00,-36.472,-14.22,-100,-100,0,,,
MSOW,M'SERIES T-SHIRT & OUTER WEAR,"40,457.000",99.000,"1,24,38,850.88","49,001.000",43.000,"1,61,66,572.03",0.000,0.000,0.00,21.119,29.97,-100,-100,0,,,
MSPD,M'SERIES PRO DRY,"5,004.000",0.000,"12,25,941.50","5,346.000",266.000,"17,67,456.34",0.000,0.000,0.00,6.835,44.17,-100,-100,0,,,
MSSG,MACROMAN M-SERIES SIGNATURE,0.000,0.000,0.00,"17,220.000","1,116.000","48,37,663.79",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
MSSK,M'SERIES SOCKS,"69,071.000","8,610.060","49,26,379.59","84,477.000","10,528.000","59,30,467.53",0.000,0.000,0.00,22.305,20.38,-100,-100,0,,,
MSSP,M'SERIES MACROMAN SPORTS,"33,089.500",0.000,"1,10,32,959.41","34,908.000","5,975.000","1,40,24,891.45",0.000,0.000,0.00,5.496,27.12,-100,-100,0,,,
MSTH,M'SERIES THERMAL,163.000,0.000,"72,033.73",269.000,0.000,"1,34,716.29",0.000,0.000,0.00,65.031,87.02,-100,-100,0,,,
MSWS,M'SERIES MACROWOMAN SOCKS,"4,159.000",502.000,"2,65,918.42","2,660.000",290.000,"1,65,199.49",0.000,0.000,0.00,-36.042,-37.88,-100,-100,0,,,
MWBR,M'WOMAN BRA,"22,645.500",0.000,"49,26,796.74","27,359.000",0.000,"55,29,768.65",0.000,0.000,0.00,20.814,12.24,-100,-100,0,,,
MWTH,M'WOMAN THERMAL,258.000,0.000,"88,530.05",431.000,0.000,"1,43,104.49",0.000,0.000,0.00,67.054,61.65,-100,-100,0,,,
RABT,BATH TOWEL,"7,697.000",0.000,"19,15,244.26","4,842.000",0.000,"13,29,937.75",0.000,0.000,0.00,-37.092,-30.56,-100,-100,0,,,
RAFR,SAMPLE FREE,0.000,0.000,0.00,0.000,"1,714.000","1,714.00",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
RAFT,FACE TOWEL,"2,196.000",0.000,"82,997.34","11,615.000",0.000,"1,27,271.14",0.000,0.000,0.00,428.916,53.34,-100,-100,0,,,
RAHC,HANDKERCHIEF,"8,625.000",0.000,"4,15,749.96","5,259.000",0.000,"2,57,776.57",0.000,0.000,0.00,-39.026,-38,-100,-100,0,,,
RAHT,HAND TOWEL,"4,058.000",0.000,"3,18,920.54","2,904.000",0.000,"2,74,751.55",0.000,0.000,0.00,-28.438,-13.85,-100,-100,0,,,
RARC,RAINCOAT,0.000,0.000,0.00,"5,797.000",0.000,"19,09,313.61",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
SLFR,SOFTLINE FREE,0.000,0.000,0.00,0.000,"1,771.000","1,740.75",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
SLSC,SOFTLINE CAMISOLE,0.000,0.000,0.00,"52,304.000",0.000,"38,27,550.91",0.000,0.000,0.00,0.000,0.00,0.000,0.00,0,,,
SLSP,SOFTLINE REG.PANTIES,"98,140.000",0.000,"57,77,287.60","1,83,086.000",0.000,"1,08,51,142.78",0.000,0.000,0.00,86.556,87.82,-100,-100,0,,,
TCAG,AGNI,"5,232.000",0.000,"13,69,580.26","9,789.000",0.000,"27,22,519.95",0.000,0.000,0.00,87.099,98.78,-100,-100,0,,,
TCAR,ANGORA,240.000,0.000,"61,430.37",288.000,0.000,"65,545.74",0.000,0.000,0.00,20.000,6.70,-100,-100,0,,,
TCBL,BOILER,4.000,0.000,"1,910.12",556.000,0.000,"3,13,073.58",0.000,0.000,0.00,"13,800.000","16,290.26",-100,-100,0,,,
TCTO,TORRIDO,"2,001.000",0.000,"9,02,270.25",709.000,0.000,"5,12,306.91",0.000,0.000,0.00,-64.568,-43.22,-100,-100,0,,,
TCVC,VOLCANO,3.000,0.000,"2,678.10",1.000,0.000,236.30,0.000,0.000,0.00,-66.667,-91.18,-100,-100,0,,,
,,"2,73,38,582.500","5,08,929.150","1,95,59,03,299.34","2,97,99,164.000","1,81,195.920","2,02,15,22,774.36",0.000,0.000,0.00,,,,,,,,
